I_t,D_t,F_t,ECN_t,A_t,delta_I,delta_D,label
1.1113581170142157,0.18230561337851026,0.3,0.6065925648957353,0.5047655521184804,0.11978502110551381,-0.001594386621489724,1
1.2668325013850092,0.18170698720775744,0.312,0.5575502495844973,1.2140478039189924,0.15547438437079353,-0.0005986261707528195,1
1.42542478741684,0.14860589899733787,0.324,0.507572563774948,2.131900027560884,0.15859228603183073,-0.03310108821041957,1
1.573997322119577,0.16699371730367343,0.33599999999999997,0.46060080336412684,3.2452965463163346,0.14857253470273712,0.018387818306335568,1
1.73381889834967,0.1609771277478458,0.348,0.41025433049509896,4.568861114170906,0.15982157623009297,-0.006016589555827623,1
1.9145334475847975,0.14682112762304692,0.36,0.35363996572456075,6.129754596031142,0.18071454923512742,-0.014156000124798895,1
2.0,0.12623856187994184,0.372,0.3256,7.804154596031141,0.08546655241520251,-0.020582565743105075,1
2.0,0.12804783990290683,0.384,0.32320000000000004,9.480954596031141,0.0,0.0018092780229649885,1
2.0,0.13482618436483193,0.396,0.32080000000000003,11.160154596031141,0.0,0.006778344461925101,1
2.0,0.13521374143638845,0.408,0.3184,12.84175459603114,0.0,0.0003875570715565213,1
2.0,0.13088274179771142,0.42,0.316,14.52575459603114,0.0,-0.00433099963867703,1
2.0,0.10694676457468898,0.432,0.3136,16.21215459603114,0.0,-0.023935977223022445,1
2.0,0.08210035534669606,0.444,0.31120000000000003,17.90095459603114,0.0,-0.024846409227992916,1
2.0,0.0700235954313325,0.45599999999999996,0.3088,19.59215459603114,0.0,-0.012076759915363555,1
2.0,0.06379487304783223,0.46799999999999997,0.3064,21.28575459603114,0.0,-0.006228722383500279,1
2.0,0.04975312709194342,0.48,0.30400000000000005,22.98175459603114,0.0,-0.014041745955888807,1
2.0,0.04267840389240932,0.492,0.30160000000000003,24.68015459603114,0.0,-0.0070747231995341026,1
2.0,0.014627823225957164,0.504,0.2992,26.380954596031142,0.0,-0.028050580666452152,1
2.0,0.004949987534485811,0.516,0.2968,28.08415459603114,0.0,-0.009677835691471353,1
2.0,0.0,0.528,0.2944,29.78975459603114,0.0,-0.004949987534485811,1
0.19084154253619245,0.2156370367469492,0.1,0.9227475372391423,0.0,0.030641542536192445,0.010437036746949235,0
0.2241591963433117,0.2472346850227466,0.112,0.9103522410970065,0.0,0.033317653807119235,0.03159764827579739,0
0.29209901497800916,0.252392456818918,0.124,0.8875702955065972,0.0,0.06793981863469747,0.005157771796171384,0
0.36977107668465004,0.24794346700017225,0.136,0.861868676994605,0.0,0.07767206170664087,-0.004448989818745724,0
0.4319151233036323,0.2699525958354051,0.14800000000000002,0.8408254630089104,0.0,0.06214404661898226,0.022009128835232844,0
0.47519180963702873,0.2969567252085908,0.16,0.8254424571088914,0.0,0.04327668633339643,0.027004129373185692,0
0.526948870588582,0.2837222426845054,0.17200000000000001,0.8075153388234254,0.0,0.051757060951553246,-0.013234482524085378,0
0.5571703974664269,0.31166318130964943,0.184,0.7960488807600719,0.0,0.030221526877844962,0.02794093862514402,0
0.5847580448893647,0.3660101384948794,0.196,0.7853725865331905,0.0,0.027587647422937733,0.05434695718522997,0
0.6089356002667731,0.37077538607099253,0.20800000000000002,0.7757193199199681,0.0,0.0241775553774084,0.00476524757611313,0
0.6259399253529839,0.3794521705353586,0.22,0.7682180223941047,0.0,0.01700432508621086,0.008676784464366094,0
0.686766489888433,0.3925846835950194,0.232,0.7475700530334701,0.0,0.0608265645354491,0.013132513059660789,0
0.7235156265072729,0.4254560109278362,0.24400000000000002,0.7341453120478181,0.0,0.03674913661883983,0.03287132733281678,1
0.7971487432232949,0.47201589561042817,0.256,0.7096553770330115,0.08749336619028336,0.07363311671602202,0.04655988468259198,1
0.8262521636472295,0.5048105805100385,0.268,0.6985243509058312,0.2152211789316817,0.029103420423934656,0.032794684899610294,1
0.8340534338570099,0.506567472727829,0.28,0.6937839698428969,0.3554906429457947,0.0078012702097803865,0.0017568922177905177,1
0.8592711845717144,0.49883762883257754,0.29200000000000004,0.6838186446284857,0.5309431828890232,0.025217750714704446,-0.0077298438952514426,1
0.8896641499957199,0.5027466392075219,0.30400000000000005,0.6723007550012841,0.748306577883459,0.03039296542400549,0.003909010374944399,1
0.9188773953178438,0.5045241867178202,0.316,0.6611367814046468,1.006047191796656,0.029213245322123993,0.0017775475102982385,1
0.9844371488267205,0.5379367544081257,0.328,0.6390688553519839,1.3514154852713927,0.06555975350887666,0.03341256769030554,1
0.25935371495927584,0.34827096547591724,0.6031503559712913,0.801563814317959,0.0,0.05935371495927583,-0.013529034524082717,0
0.27455548700400184,0.3428715475836488,0.6151503559712913,0.7946032827045412,0.0,0.015201772044726003,-0.005399417892268443,0
0.2754537823416837,0.3328662572108685,0.6271503559712913,0.7919337941032366,0.0,0.0008982953376818759,-0.010005290372780307,0
0.2804829119027304,0.3437789140643355,0.6391503559712913,0.7880250552349226,0.0,0.005029129561046675,0.010912656853466984,0
0.3333225693457382,0.32520988165932324,0.6511503559712913,0.7697731580020202,0.0,0.05283965744300778,-0.01856903240501223,0
0.3616179618659972,0.34947928950256507,0.6631503559712912,0.7588845402459425,0.0,0.028295392520259033,0.02426940784324183,0
0.4149269839601657,0.38250503696247595,0.6751503559712912,0.740491833617692,0.0,0.05330902209416849,0.03302574745991088,0
0.4316336193391398,0.41120286101674947,0.6871503559712913,0.7330798430039998,0.0,0.0167066353789741,0.028697824054273513,0
0.4661552768900019,0.42025657606010053,0.6991503559712913,0.7203233457387411,0.0,0.03452165755086212,0.009053715043351063,0
0.4909602429811166,0.42555831766481433,0.7111503559712913,0.7104818559114068,0.0,0.02480496609111471,0.0053017416047138055,0
0.49656485033472975,0.43796564575702,0.7231503559712913,0.7064004737053228,0.0,0.0056046073536131225,0.012407328092205683,0
0.526904796605332,0.4522556475463468,0.7351503559712913,0.6948984898241422,0.0,0.030339946270602214,0.014290001789326767,0
0.5440517879807807,0.46897872009690117,0.7471503559712913,0.6873543924115075,0.0,0.017146991375448728,0.016723072550554385,0
0.5752935060071122,0.5268934517077979,0.7591503559712913,0.6755818770036081,0.0,0.031241718026331466,0.05791473161089672,0
0.6314461960539992,0.5404114432367387,0.7711503559712913,0.656336069989542,0.0,0.056152690046887055,0.013517991528940843,0
0.7071353609794054,0.5255282755240238,0.7831503559712913,0.63122932051192,0.07590604046748539,0.07568916492540623,-0.014883167712714918,1
